,t,x,V,x_run,T_run,T_cal,baseline,Tin,Tout,t_start
0,1695928025.921973,82.04271240234375,-0.001188000000000021,81.89143445958712,-18.251541400096567,,-0.002186999999999996,59.850914001464844,42.54841262388059,1695928048.0
1,1695928025.923903,82.04271240234375,-0.00031287127899815893,81.87581208459433,-17.72715808459153,,-0.0021871287210018433,,,
2,1695928025.9267867,82.04271240234375,0.00031225744200367566,81.85789582526256,-17.72679826022232,,-0.002187257442003691,,,
3,1695928025.9308217,82.04271240234375,0.0001873861630055369,81.83931753067506,-17.726598631055083,,-0.0021873861630055387,,,
4,1695928025.9343073,82.04271240234375,-0.0011874851159926303,81.81587947307216,-17.72639902938656,,-0.0021875148840073866,,,
5,1695928025.938357,82.04271240234375,-0.001062356394990741,81.80459919613496,-17.726119371333972,,-0.002187643605009234,,,
6,1695928025.942858,82.04271240234375,-0.0003122276739889202,81.78438535070492,-17.72565287848445,,-0.002187772326011082,,,
7,1695928025.9464595,82.03767429554914,0.0009379010470129561,81.76841054046201,-17.725133023850994,,-0.0021879010470129295,,,
8,1695928025.9498599,82.03226160409115,0.001438029768014804,81.74948057453294,-17.260889754395894,,-0.002188029768014777,,,
9,1695928025.9540625,82.02557183320839,0.0009381584890166515,81.73308337177153,-16.56996816860126,,-0.002188158489016625,,,
10,1695928025.957294,82.02042784077945,-0.00018671278998154362,81.71133140105881,-16.569182766836533,,-0.0021882872100184724,,,
11,1695928025.9615123,82.01371302168211,-0.0004365840689796682,81.69540941228513,-16.56837243445291,,-0.0021884159310203203,,,
12,1695928025.9650524,82.00807793244019,0.00018854465202216598,81.67449456106019,-16.56761204041622,,-0.0021885446520221678,,,
13,1695928025.9687147,82.00224815025774,-0.0006863266269760008,81.65357970983524,-16.567076279019904,,-0.0021886733730240157,,,
14,1695928025.9728017,81.99574244580025,-0.0005611979059741115,81.63633098817867,-16.566690281297895,,-0.002188802094025863,,,
15,1695928025.9762,81.9882386845179,0.0010639308150277235,81.619740259158,-16.56563048842218,,-0.0021889308150277106,,,
16,1695928025.9804862,81.9745850636765,0.0008140595360295435,81.59540527924123,-16.564121507371066,,-0.0021890595360295586,,,
17,1695928025.983664,81.96446162193456,6.418825703141803e-05,81.57347776421369,-16.562594750885257,,-0.002189188257031406,,,
18,1695928025.9876373,81.9518044716135,-0.0004356830219667345,81.5613650839652,-16.561315807715236,,-0.002189316978033254,,,
19,1695928025.9928641,81.93515384416145,6.444569903511343e-05,81.543715979962,-16.560256137588254,,-0.0021894456990351014,,,
20,1695928025.9952815,81.92745322327305,-6.042557996302489e-05,81.523887458217,-16.558996846319456,,-0.0021895744200369494,,,
21,1695928025.998812,81.91620647368083,-0.0008102968589612058,81.49895850185548,-16.55736324287654,,-0.002189703141038797,,,
22,1695928026.0028367,81.9033852702863,-0.0010601681379593304,81.48683138559913,-16.55575462099443,,-0.0021898318620406448,,,
23,1695928026.0065882,81.89143445958712,-0.001435039416957497,81.46437800895197,-16.55442053925976,,-0.0021899605830424922,,,
24,1695928026.010023,81.87581208459433,-0.0016849106959556776,81.44844616670915,-16.552811968768598,,-0.0021900893040443397,,,
25,1695928026.0138493,81.85789582526256,-0.0009347819749538013,81.42305624856772,-16.61986556655172,,-0.0021902180250461876,,,
26,1695928026.0178168,81.83931753067506,-0.0009346532539519538,81.41097575669748,-16.677109931201905,,-0.002190346746048035,,,
27,1695928026.0228221,81.81587947307216,-0.00130952453295012,81.38958190468672,-16.675287839953196,,-0.002190475467049883,,,
28,1695928026.0252311,81.80459919613496,-0.0021843958119482873,81.36973929359337,-16.6736418134717,,-0.0021906041880517305,,,
29,1695928026.029548,81.78438535070492,-0.002434267090946412,81.35386781184629,-16.6719706644577,,-0.0021907329090535784,,,
30,1695928026.0329595,81.76841054046201,-0.0019341383699445639,81.33284132781442,-16.67022409614663,,-0.002190861630055426,,,
31,1695928026.037002,81.74948057453294,-0.002809009648942731,81.31523136598648,-16.66825121803676,,-0.0021909903510572734,,,
32,1695928026.0404122,81.73308337177153,-0.003933880927940871,81.29554992278065,-16.666253217412297,,-0.0021911190720591213,,,
33,1695928026.044755,81.71133140105881,-0.004058752206939037,81.27442152376109,-16.664054055439156,,-0.002191247793060969,,,
34,1695928026.0479338,81.69540941228513,-0.0038086234859371886,81.2590927985764,-16.44961867190463,,-0.0021913765140628167,,,
35,1695928026.0521095,81.67449456106019,-0.002683494764935354,81.23737120552467,-16.43215705214326,,-0.002191505235064664,,,
36,1695928026.0562851,81.65357970983524,-0.0019333660439334777,81.2213422942157,-16.43003763019669,,-0.002191633956066512,,,
37,1695928026.0597289,81.63633098817867,-0.005308237322931647,81.20144822979371,-16.42776940541438,,-0.0021917626770683596,,,
38,1695928026.0630412,81.619740259158,-0.007558108601929802,81.17792450184841,-16.42542679200052,,-0.002191891398070207,,,
39,1695928026.0678997,81.59540527924123,-0.006807979880927953,81.16044420572112,-16.422960180492492,,-0.002192020119072055,,,
40,1695928026.0722775,81.57347776421369,-0.005682851159926091,81.14372204189546,-16.420493594521847,,-0.0021921488400739025,,,
41,1695928026.0746958,81.5613650839652,-0.005307722438924256,81.12373065779607,-16.418126253012325,,-0.0021922775610757504,,,
42,1695928026.0782194,81.543715979962,-0.006307593717922409,81.09399529118296,-16.610781943223312,,-0.002192406282077598,,,
43,1695928026.082178,81.523887458217,-0.00818246499692055,81.08567903088395,-16.660462533875254,,-0.0021925350030794458,,,
44,1695928026.087155,81.49895850185548,-0.008057336275918717,81.0670617514066,-16.657757423606505,,-0.0021926637240812933,,,
45,1695928026.0895762,81.48683138559913,-0.006682207554916853,81.05113367397469,-16.655052339231986,,-0.0021927924450831407,,,
46,1695928026.094059,81.46437800895197,-0.008057078833915021,81.03131856330457,-16.65244799600525,,-0.0021929211660849887,,,
47,1695928026.0972397,81.44844616670915,-0.008681950112913159,81.01020501309051,-16.649717784705583,,-0.002193049887086836,,,
48,1695928026.1023088,81.42305624856772,-0.008306821391911325,80.9926660184122,-16.64671063255381,,-0.002193178608088684,,,
49,1695928026.1047306,81.41097575669748,-0.009056692670909479,80.97383686958356,-16.64350207592965,,-0.0021933073290905315,,,
50,1695928026.1090348,81.38958190468672,-0.008181563949907615,80.95378858426426,-16.607072448467886,,-0.0021934360500923795,,,
51,1695928026.1130269,81.36973929359337,-0.008306435228905782,80.93678264752104,-16.54573072561343,,-0.002193564771094227,,,
52,1695928026.11622,81.35386781184629,-0.008681306507903922,80.91864429116993,-16.542890475130307,,-0.0021936934920960744,,,
53,1695928026.1204503,81.33284132781442,-0.009806177786902088,80.89883254052553,-16.539874969284288,,-0.0021938222130979223,,,
54,1695928026.1239932,81.31523136598648,-0.009931049065900227,80.87829358937388,-16.53683444905801,,-0.00219395093409977,,,
55,1695928026.1279528,81.29554992278065,-0.010930920344898381,80.857357117814,-16.533768914466165,,-0.0021940796551016177,,,
56,1695928026.1322036,81.27442152376109,-0.010555791623896546,80.84017566687669,-16.530878686790274,,-0.0021942083761034652,,,
57,1695928026.1352875,81.2590927985764,-0.010430662902894685,80.82362620197759,-16.528013525062825,,-0.002194337097105313,,,
58,1695928026.139602,81.23737120552467,-0.010680534181892836,80.80392275779171,-16.524797826853415,,-0.0021944658181071606,,,
59,1695928026.1427827,81.2213422942157,-0.01143040546089099,80.77818509663076,-16.505192535684483,,-0.0021945945391090085,,,
