,t,x,V,x_run,T_run,T_cal,baseline,Tin,Tout,t_start
0,1648495705.9220076,5.8106103515625,0.0010496250000000093,5.987210983900768,-0.00034608380539723514,50.24596134846539,-0.0021746249999999964,49.98469161987305,40.53886861163729,1648495730.0
1,1648495705.9228725,5.8106103515625,0.002674537785984504,5.999719421113544,-0.0007180148267766403,50.24543715362377,-0.002174537785984504,,,
2,1648495705.9264019,5.8106103515625,0.0010494505719690237,6.01540451283955,-0.0011416583266276826,50.24523146702654,-0.002174450571969011,,,
3,1648495705.9297748,5.8106103515625,-0.0005756366420464564,6.0356708081725925,-0.001694610092418636,50.2453442886737,-0.0021743633579535183,,,
4,1648495705.933839,5.8106103515625,-0.0009507238560619632,6.055316060058906,-0.002351004861659871,50.24553062537224,-0.0021742761439380257,,,
5,1648495705.9379036,5.8106103515625,-0.00045081107007745574,6.072708733209868,-0.0026969984345209825,50.24561898188704,-0.0021741889299225327,,,
6,1648495705.9411454,5.8106103515625,0.00042410171590706635,6.089195766009943,-0.003017108698385365,50.24553586026021,-0.00217410171590704,,,
7,1648495705.946437,5.813042068347369,4.9014501891559564e-05,6.10882143025508,-0.0035182577531684845,50.24552625368475,-0.0021740145018915476,,,
8,1648495705.9490187,5.817799622288352,-0.0015760727121239206,6.128517379565618,-0.004252163875094999,50.24583515535368,-0.002173927287876055,,,
9,1648495705.9530804,5.825284125837951,-0.002701159926139456,6.146015569374772,-0.0050020464963223205,50.2463645679898,-0.002173840073860562,,,
10,1648495705.9563196,5.8312529251584975,-0.001701247140154948,6.162970562253821,-0.00546209284857939,50.24669800316498,-0.0021737528598450694,,,
11,1648495705.9603992,5.838770378800032,0.0002986656458295613,6.183458192469832,-0.005721810667164626,50.24663946632481,-0.002173665645829577,,,
12,1648495705.9640312,5.84546320147405,0.0012985784318140692,6.199632386800011,-0.006382133143296751,50.246384952023696,-0.002173578431814084,,,
13,1648495705.9682724,5.853278523946686,0.0001734912177985895,6.222020832995513,-0.0075432158088464644,50.246350948689766,-0.0021734912177985913,,,
14,1648495705.971516,5.859255231289297,-0.0013265959962169044,6.239125796327547,-0.008929630951171165,50.24661095428093,-0.0021734040037830987,,,
15,1648495705.9755762,5.866737098831541,-0.0003266832102323965,6.259371807480416,-0.009915406496083424,50.24667498241116,-0.0021733167897676057,,,
16,1648495705.9791207,5.875382877533372,0.00042322957575213933,6.2755269579435495,-0.01074073817506918,50.24659203171904,-0.002173229575752113,,,
17,1648495705.9833617,5.890055390856426,0.001923142361736648,6.297407682228672,-0.011549936238678329,50.24621510628878,-0.0021731423617366206,,,
18,1648495705.9866123,5.901301458241544,0.0007980551477211129,6.314473571714146,-0.01223303392080418,50.24605869182571,-0.002173055147721128,,,
19,1648495705.9907491,5.915613510111811,0.0010479679337056479,6.334887446515317,-0.013315474180844718,50.245853295817504,-0.002172967933705635,,,
20,1648495705.9943774,5.92816614715646,0.0012978807196901278,6.351091265602099,-0.01442285702554173,50.24559891826417,-0.0021728807196901424,,,
21,1648495705.9977877,5.939964867112214,0.00042279350567467604,6.380463747330404,-0.015380462458042442,50.24551605303942,-0.00217279350567465,,,
22,1648495706.0018442,5.9539989429879965,0.0015477062916591702,6.389633692845581,-0.016412930474297583,50.245212711034426,-0.002172706291659157,,,
23,1648495706.0055733,5.96690049352127,0.0014226190776436914,6.410109655819512,-0.017670021071616072,50.24493388544221,-0.0021726190776436643,,,
24,1648495706.0109215,5.987210983900768,0.0016725318636281713,6.430333684092439,-0.019276534247745752,50.244606078304855,-0.0021725318636281717,,,
25,1648495706.0135098,5.999719421113544,0.0017974446496126645,6.446482579026395,-0.021060050005751993,50.24425378894168,-0.0021724446496126787,,,
26,1648495706.0167553,6.01540451283955,0.0020473574355972,6.464613900053552,-0.022419481573815733,50.243852518033364,-0.002172357435597186,,,
27,1648495706.020949,6.0356708081725925,0.0026722702215816936,6.485615489530815,-0.023380399951564268,50.24332876762202,-0.0021722702215816935,,,
28,1648495706.025014,6.055316060058906,0.0031721830075662006,6.505730710088944,-0.024366349937016987,50.24270703702694,-0.0021721830075662005,,,
29,1648495706.0286129,6.072708733209868,0.0016720957935507075,6.521792428757823,-0.025803165970993528,50.24237931535695,-0.002172095793550708,,,
30,1648495706.0320244,6.089195766009943,0.0015470085795352287,6.543744634028895,-0.027490455375461152,50.24207611009973,-0.0021720085795352154,,,
31,1648495706.0360854,6.10882143025508,0.0024219213655197226,6.560614197658972,-0.028877138285829072,50.241601426700875,-0.002171921365519723,,,
32,1648495706.040161,6.128517379565618,0.00379683415150423,6.580856722209513,-0.030088460125867838,50.24085726788318,-0.00217183415150423,,,
33,1648495706.0437381,6.146015569374772,0.004171746937488737,6.597033847301421,-0.0316226687453534,50.240039628201046,-0.0021717469374887373,,,
34,1648495706.0471344,6.162970562253821,0.002296659723473245,6.61921253884985,-0.033537472322355044,50.239589495401916,-0.0021716597234732447,,,
35,1648495706.0512383,6.183458192469832,0.001296572509457737,6.6363977192232095,-0.03549433345326559,50.23933537425066,-0.0021715725094577517,,,
36,1648495706.0544782,6.199632386800011,0.0032964852954422592,6.656721363896405,-0.0374761511914995,50.238689281084056,-0.002171485295442259,,,
37,1648495706.0589628,6.222020832995513,0.005796398081426767,6.673317038047665,-0.03900841892890694,50.237553218624896,-0.0021713980814267665,,,
38,1648495706.0623891,6.239125796327547,0.006921310867411273,6.69370392933983,-0.04031590295355709,50.23619667938549,-0.0021713108674112735,,,
