Time,Conductivity_out (microS),Conductivity_out @25*C (microS),Temperature_out,Conductivity_in (microS),Conductivity_in @25*C (microS),Temperature_in
11:41:45,60.77,63.48,22.75,4.79,5.00,22.75
11:41:46,60.13,63.13,22.50,4.79,4.93,23.50
11:41:47,60.13,63.13,22.50,3.45,3.60,22.75
11:41:48,60.13,62.51,23.00,3.90,4.05,23.00
11:41:49,60.12,63.12,22.50,4.79,4.95,23.25
11:41:50,59.38,62.03,22.75,4.34,4.47,23.50
11:41:51,60.12,62.80,22.75,5.23,5.38,23.50
11:41:52,59.38,62.03,22.75,4.34,4.49,23.25
11:41:53,59.38,62.03,22.75,3.90,4.01,23.50
11:41:54,58.64,61.26,22.75,3.90,4.01,23.50
11:41:55,60.13,62.82,22.75,4.79,4.91,23.75
11:41:56,59.39,62.04,22.75,4.79,4.93,23.50
11:41:57,58.63,61.25,22.75,4.79,4.95,23.25
11:41:58,58.63,61.86,22.25,4.35,4.50,23.25
11:41:59,57.89,61.08,22.25,5.23,5.38,23.50
11:42:00,57.89,60.48,22.75,4.79,4.93,23.50
11:42:01,57.15,59.70,22.75,4.79,4.93,23.50
11:42:02,57.15,59.70,22.75,4.34,4.49,23.25
11:42:03,55.76,57.96,23.00,4.79,4.93,23.50
11:42:04,54.28,56.70,22.75,4.34,4.47,23.50
11:42:05,55.76,58.25,22.75,4.79,4.93,23.50
11:42:06,55.02,57.48,22.75,4.34,4.49,23.25
11:42:07,55.01,57.75,22.50,5.23,5.38,23.50
11:42:08,54.28,56.70,22.75,4.79,4.95,23.25
11:42:09,53.53,55.92,22.75,4.79,4.98,23.00
11:42:10,53.53,56.48,22.25,4.79,4.98,23.00
11:42:11,52.79,55.15,22.75,4.79,4.93,23.50
11:42:12,52.14,54.47,22.75,4.79,4.93,23.50
11:42:13,52.14,54.47,22.75,4.34,4.49,23.25
11:42:14,51.40,53.70,22.75,4.34,4.49,23.25
11:42:15,51.40,53.70,22.75,4.79,4.98,23.00
11:42:16,49.92,52.15,22.75,4.79,4.93,23.50
11:42:17,50.66,52.92,22.75,4.79,4.93,23.50
11:42:18,49.91,52.14,22.75,4.79,4.98,23.00
11:42:18,50.66,52.92,22.75,4.79,4.95,23.25
11:42:19,49.17,51.37,22.75,4.79,4.93,23.50
11:42:20,49.91,52.14,22.75,4.79,4.93,23.50
11:42:21,49.92,51.89,23.00,4.34,4.49,23.25
11:42:22,49.91,52.14,22.75,4.79,4.98,23.00
11:42:23,49.91,52.14,22.75,4.79,4.95,23.25
11:42:24,49.92,52.15,22.75,4.79,4.93,23.50
11:42:25,49.17,50.86,23.25,4.79,4.93,23.50
11:42:26,48.52,50.69,22.75,4.79,4.95,23.25
11:42:27,47.79,49.92,22.75,5.62,5.87,22.75
11:42:28,47.05,49.15,22.75,4.79,4.93,23.50
11:42:29,47.05,49.15,22.75,4.79,4.93,23.50
11:42:30,47.05,49.40,22.50,5.62,5.81,23.25
11:42:31,46.30,48.37,22.75,5.62,5.84,23.00
11:42:32,46.30,48.61,22.50,5.23,5.44,23.00
11:42:33,44.82,46.82,22.75,5.23,5.41,23.25
11:42:34,45.56,47.83,22.50,5.23,5.38,23.50
11:42:35,44.17,45.91,23.00,5.23,5.38,23.50
11:42:36,43.43,45.37,22.75,5.23,5.41,23.25
11:42:37,43.43,45.37,22.75,5.23,5.41,23.25
