Time,Conductivity_out (microS),Conductivity_out @25*C (microS),Temperature_out,Conductivity_in (microS),Conductivity_in @25*C (microS),Temperature_in
12:44:37,7.23,7.2,25.25,15.62,15.77,24.5
12:44:38,7.23,7.26,24.75,14.35,14.56,24.25
12:44:39,8.72,8.72,25,15.19,15.48,24
12:44:40,7.23,7.26,24.75,15.63,15.78,24.5
12:44:41,7.23,7.23,25,15.63,15.78,24.5
12:44:42,7.97,7.97,25,15.63,16.01,23.75
12:44:43,7.23,7.26,24.75,14.35,14.56,24.25
12:44:44,7.23,7.3,24.5,15.18,15.4,24.25
12:44:45,7.97,7.97,25,14.74,14.95,24.25
12:44:46,7.23,7.2,25.25,14.74,14.95,24.25
12:44:47,7.97,7.97,25,14.35,14.56,24.25
12:44:48,7.23,7.23,25,15.18,15.4,24.25
12:44:49,7.23,7.23,25,14.74,15.03,24
12:44:50,7.23,7.2,25.25,14.74,14.95,24.25
12:44:51,7.23,7.23,25,14.35,14.56,24.25
12:44:51,7.23,7.23,25,15.18,15.4,24.25
12:44:52,7.23,7.23,25,15.18,15.47,24
12:44:54,7.23,7.2,25.25,14.34,14.62,24
12:44:54,7.97,7.93,25.25,13.91,14.11,24.25
12:44:55,7.97,7.97,25,15.18,15.47,24
12:44:56,7.97,7.93,25.25,14.74,15.1,23.75
12:44:57,8.72,8.72,25,14.74,14.88,24.5
12:44:58,7.23,7.2,25.25,15.62,16,23.75
12:44:59,8.72,8.68,25.25,15.18,15.47,24
12:45:00,8.72,8.76,24.75,14.74,14.95,24.25
12:45:01,7.97,8.05,24.5,14.74,15.03,24
12:45:02,8.71,8.71,25,14.35,14.63,24
12:45:03,7.97,7.93,25.25,14.35,14.63,24
12:45:04,7.23,7.26,24.75,14.73,14.94,24.25
12:45:05,7.97,7.97,25,13.9,14.1,24.25
12:45:06,7.23,7.2,25.25,14.34,14.55,24.25
12:45:07,8.71,8.75,24.75,14.35,14.56,24.25
12:45:08,8.72,8.68,25.25,14.34,14.69,23.75
12:45:09,8.71,8.75,24.75,14.35,14.49,24.5
12:45:10,7.97,7.97,25,14.73,14.87,24.5
12:45:11,7.23,7.26,24.75,14.34,14.55,24.25
12:45:12,8.71,8.79,24.5,14.74,15.03,24
12:45:13,7.23,7.26,24.75,14.73,14.94,24.25
12:45:14,8.71,8.67,25.25,14.74,15.03,24
12:45:15,7.23,7.23,25,14.73,15.02,24
12:45:16,7.97,7.97,25,14.74,14.88,24.5
12:45:17,7.23,7.2,25.25,14.35,14.56,24.25
12:45:18,7.23,7.2,25.25,14.74,15.03,24
12:45:19,7.23,7.16,25.5,14.35,14.56,24.25
12:45:20,7.23,7.2,25.25,14.35,14.42,24.75
12:45:21,7.97,7.97,25,14.35,14.49,24.5
12:45:22,7.97,7.89,25.5,15.18,15.55,23.75
12:45:23,6.49,6.49,25,15.18,15.47,24
12:45:24,7.97,8.01,24.75,15.62,15.77,24.5
12:45:25,7.23,7.23,25,14.74,15.03,24
12:45:26,7.23,7.23,25,15.19,15.48,24
12:45:27,7.97,8.01,24.75,14.74,15.03,24
12:45:28,7.97,7.97,25,15.19,15.34,24.5
12:45:29,7.23,7.2,25.25,14.74,15.03,24
12:45:30,7.23,7.23,25,15.62,15.77,24.5
12:45:31,6.49,6.46,25.25,14.35,14.49,24.5
12:45:32,7.97,7.93,25.25,15.18,15.33,24.5
12:45:33,7.23,7.23,25,15.63,15.93,24
12:45:34,6.49,6.46,25.25,15.18,15.4,24.25
12:45:34,6.49,6.46,25.25,14.73,14.94,24.25
12:45:35,7.23,7.2,25.25,14.73,15.09,23.75
12:45:36,7.97,8.01,24.75,15.63,15.86,24.25
12:45:37,6.49,6.46,25.25,14.74,14.88,24.5
12:45:38,6.49,6.49,25,16.07,16.3,24.25
12:45:39,7.23,7.2,25.25,16.07,16.3,24.25
