x_water,T_water,,x_rxn,T_rxn
0.01602,322.2307874,,0.01291,322.3104028
0.01604,322.227996,,0.01292,322.3080627
0.01606,322.2255745,,0.01293,322.3057228
0.01608,322.2230606,,0.01294,322.3033831
0.01610,322.2202692,,0.01295,322.3010436
0.01612,322.217524,,0.01296,322.2987043
0.01616,322.2147557,,0.01297,322.2963652
0.01617,322.2125193,,0.01298,322.2940264
0.01619,322.2098897,,0.01299,322.2916877
0.01621,322.2075608,,0.013,322.2893492
0.01623,322.2053244,,0.01301,322.2870109
0.01625,322.2030187,,0.01302,322.2846729
0.01627,322.2006204,,0.01303,322.282335
0.01628,322.1980602,,0.01304,322.2799973
0.01631,322.1953382,,0.01305,322.2776598
0.01635,322.1926855,,0.01306,322.2753226
0.01636,322.1900791,,0.01307,322.2729855
0.01638,322.1876345,,0.01308,322.2706486
0.01640,322.1851206,,0.01309,322.268312
0.01642,322.1826761,,0.0131,322.2659755
0.01644,322.180139,,0.01311,322.2636392
0.01646,322.1777176,,0.01312,322.2613032
0.01647,322.1754581,,0.01313,322.2589673
0.01650,322.1730136,,0.01314,322.2566316
0.01651,322.1705228,,0.01315,322.2542962
0.01655,322.168217,,0.01316,322.2519609
0.01657,322.1657031,,0.01317,322.2496259
0.01659,322.1630505,,0.01318,322.247291
0.01661,322.1605134,,0.01319,322.2449564
0.01662,322.1579995,,0.0132,322.2426219
0.01665,322.1556938,,0.01321,322.2402876
0.01666,322.1535499,,0.01322,322.2379536
0.01668,322.1511516,,0.01323,322.2356197
0.01670,322.1485452,,0.01324,322.2332861
0.01674,322.1456844,,0.01325,322.2309526
0.01676,322.1426617,,0.01326,322.2286194
0.01678,322.1399859,,0.01327,322.2262863
0.01680,322.1373564,,0.01328,322.2239535
0.01682,322.1348887,,0.01329,322.2216208
0.01684,322.1323055,,0.0133,322.2192884
0.01686,322.1300922,,0.01331,322.2169562
0.01687,322.1277633,,0.01332,322.2146241
0.01689,322.1252263,,0.01333,322.2122923
0.01695,322.1228743,,0.01334,322.2099606
0.01697,322.1205685,,0.01335,322.2076292
0.01699,322.1180084,,0.01336,322.2052979
0.01701,322.1154945,,0.01337,322.2029669
0.01703,322.1130962,,0.01338,322.2006361
0.01704,322.1105592,,0.01339,322.1983054
0.01706,322.1082534,,0.0134,322.195975
0.01708,322.1058089,,0.01341,322.1936447
0.01710,322.1031331,,0.01342,322.1913147
0.01712,322.1005036,,0.01343,322.1889849
0.01713,322.0977353,,0.01344,322.1866552
0.01713,322.0952445,,0.01345,322.1843258
0.01718,322.0929388,,0.01346,322.1819966
0.01719,322.0907024,,0.01347,322.1796675
0.01722,322.0883735,,0.01348,322.1773387
0.01724,322.0860909,,0.01349,322.1750101
0.01725,322.0836695,,0.0135,322.1726816
0.01727,322.0811556,,0.01351,322.1703534
0.01729,322.0786186,,0.01352,322.1680254
0.01731,322.0763129,,0.01353,322.1656975
0.01732,322.0740765,,0.01354,322.1633699
0.01737,322.0719326,,0.01355,322.1610425
0.01739,322.0698581,,0.01356,322.1587152
0.01741,322.0670205,,0.01357,322.1563882
0.01742,322.0643216,,0.01358,322.1540614
0.01744,322.0617383,,0.01359,322.1517347
0.01746,322.0594788,,0.0136,322.1494083
0.01748,322.0569881,,0.01361,322.1470821
0.01750,322.0544279,,0.01362,322.144756
0.01751,322.0519372,,0.01363,322.1424302
0.01755,322.0494233,,0.01364,322.1401046
0.01758,322.0468863,,0.01365,322.1377792
0.01760,322.0440949,,0.01366,322.1354539
0.01761,322.0417429,,0.01367,322.1331289
0.01763,322.0396222,,0.01368,322.1308041
0.01765,322.0373627,,0.01369,322.1284794
0.01767,322.0351263,,0.0137,322.126155
0.01769,322.0328206,,0.01371,322.1238308
0.01770,322.0304686,,0.01372,322.1215068
0.01775,322.0281166,,0.01373,322.1191829
0.01776,322.025834,,0.01374,322.1168593
0.01779,322.0233201,,0.01375,322.1145359
0.01781,322.0206906,,0.01376,322.1122126
0.01782,322.0181073,,0.01377,322.1098896
0.01784,322.0153853,,0.01378,322.1075668
0.01786,322.0128946,,0.01379,322.1052442
0.01788,322.0105195,,0.0138,322.1029217
0.01789,322.0079825,,0.01381,322.1005995
0.01794,322.0054455,,0.01382,322.0982775
0.01796,322.0029085,,0.01383,322.0959556
0.01797,322.0004177,,0.01384,322.093634
0.01799,321.9977188,,0.01385,322.0913126
0.01801,321.9951819,,0.01386,322.0889914
0.01803,321.9927374,,0.01387,322.0866703
0.01805,321.9901079,,0.01388,322.0843495
0.01807,321.9876865,,0.01389,322.0820289
0.01809,321.9853345,,0.0139,322.0797084
0.01812,321.9831444,,0.01391,322.0773882
0.01814,321.9810006,,0.01392,322.0750682
0.01817,321.9787873,,0.01393,322.0727484
0.01818,321.9762272,,0.01394,322.0704287
0.01820,321.973459,,0.01395,322.0681093
0.01822,321.9707832,,0.01396,322.0657901
0.01824,321.9682462,,0.01397,322.063471
0.01826,321.9661255,,0.01398,322.0611522
0.01828,321.9637967,,0.01399,322.0588336
0.01832,321.9614216,,0.014,322.0565151
0.01833,321.9592083,,0.01401,322.0541969
0.01835,321.9567176,,0.01402,322.0518789
0.01837,321.9542731,,0.01403,322.049561
0.01839,321.9516205,,0.01404,322.0472434
0.01841,321.9490141,,0.01405,322.044926
0.01843,321.9464309,,0.01406,322.0426087
0.01844,321.9438245,,0.01407,322.0402917
0.01847,321.9413107,,0.01408,322.0379749
0.01848,321.93882,,0.01409,322.0356582
0.01853,321.9363986,,0.0141,322.0333418
0.01854,321.9338847,,0.01411,322.0310255
0.01856,321.9314171,,0.01412,322.0287095
0.01858,321.9288339,,0.01413,322.0263937
0.01860,321.9262276,,0.01414,322.024078
0.01862,321.9238293,,0.01415,322.0217626
0.01863,321.9215699,,0.01416,322.0194473
0.01865,321.9193567,,0.01417,322.0171323
0.01866,321.9169816,,0.01418,322.0148175
0.01867,321.9143752,,0.01419,322.0125028
0.01871,321.9120001,,0.0142,322.0101884
0.01873,321.9095556,,0.01421,322.0078741
0.01875,321.9070187,,0.01422,322.0055601
0.01877,321.9044123,,0.01423,322.0032462
0.01879,321.9016903,,0.01424,322.0009326
0.01881,321.8992227,,0.01425,321.9986191
0.01882,321.8969401,,0.01426,321.9963059
0.01885,321.8946576,,0.01427,321.9939928
0.01885,321.8926525,,0.01428,321.99168
0.01890,321.8904162,,0.01429,321.9893673
0.01892,321.8879486,,0.0143,321.9870549
0.01894,321.885296,,0.01431,321.9847426
0.01896,321.8831521,,0.01432,321.9824306
0.01897,321.8808927,,0.01433,321.9801187
0.01899,321.8784714,,0.01434,321.9778071
0.01901,321.8759113,,0.01435,321.9754956
0.01903,321.8733743,,0.01436,321.9731843
0.01904,321.8709761,,0.01437,321.9708733
0.01905,321.868601,,0.01438,321.9685624
0.01909,321.8661334,,0.01439,321.9662517
0.01911,321.8636889,,0.0144,321.9639413
0.01913,321.8610364,,0.01441,321.961631
0.01915,321.8585919,,0.01442,321.959321
0.01917,321.8561706,,0.01443,321.9570111
0.01919,321.8537261,,0.01444,321.9547014
0.01920,321.851351,,0.01445,321.952392
0.01923,321.8490453,,0.01446,321.9500827
0.01923,321.8466471,,0.01447,321.9477736
0.01924,321.8442489,,0.01448,321.9454647
0.01928,321.8417351,,0.01449,321.9431561
0.01930,321.8391981,,0.0145,321.9408476
0.01932,321.8368693,,0.01451,321.9385393
0.01934,321.8343786,,0.01452,321.9362312
0.01935,321.832096,,0.01453,321.9339234
0.01938,321.829906,,0.01454,321.9316157
0.01939,321.8277159,,0.01455,321.9293082
0.01941,321.8254102,,0.01456,321.9270009
0.01942,321.8229657,,0.01457,321.9246938
0.01947,321.8208451,,0.01458,321.9223869
0.01949,321.8187475,,0.01459,321.9200803
0.01951,321.8162568,,0.0146,321.9177738
0.01953,321.8139511,,0.01461,321.9154675
0.01954,321.8114142,,0.01462,321.9131614
0.01956,321.8090853,,0.01463,321.9108555
0.01958,321.8065253,,0.01464,321.9085498
0.01960,321.8040577,,0.01465,321.9062443
0.01962,321.8017057,,0.01466,321.903939
0.01964,321.7994463,,0.01467,321.9016339
0.01968,321.79721,,0.01468,321.899329
0.01970,321.7946268,,0.01469,321.8970243
0.01972,321.7920667,,0.0147,321.8947198
0.01973,321.7896454,,0.01471,321.8924155
0.01976,321.7873397,,0.01472,321.8901114
0.01978,321.7851265,,0.01473,321.8878075
0.01979,321.782474,,0.01474,321.8855038
