,T_cal,T_run,Tin,Tout,V,baseline,t,t_start,x,x_run
0,25.92108992520944,-0.11325476735949405,26.1883544921875,25.92282832530069,0.00021775000000000808,-0.0018427499999999957,1622224314.4448993,1622224339.0,99.97345947265624,99.80954404977672
1,25.921200143531664,-0.0927702269706419,,,-0.00015729272666412239,-0.0018427072733358794,1622224314.4471092,,99.97345947265624,99.794292487233
2,25.921135211534615,-0.09276343677888738,,,9.266454667178933e-05,-0.0018426645466717631,1622224314.4508162,,99.97345947265624,99.77668954917253
3,25.920719948959537,-0.09278195044356657,,,0.0005926218200076733,-0.0018426218200076467,1622224314.454379,,99.97345947265624,99.75868748088651
4,25.919691585418313,-0.09267389291277921,,,0.0014675790933435162,-0.0018425790933435304,1622224314.458644,,99.97345947265624,99.73739818077219
5,25.918750841945936,-0.09261645174726706,,,0.0013425363666794137,-0.0018425363666794141,1622224314.4620216,,99.97345947265624,99.7198011295882
6,25.918598439577398,-0.09281212701600514,,,0.0002174936400153103,-0.0018424936400152979,1622224314.466291,,99.97345947265624,99.68601281332448
7,25.918095706630837,-0.09321029370204416,,,0.0007174509133511945,-0.0018424509133511816,1622224314.4695604,,99.97345947265624,99.68231938701884
8,25.917067462847502,-0.09370970177042251,,,0.0014674081866870511,-0.0018424081866870654,1622224314.4739587,,99.97345947265624,99.66473999646432
9,25.91709033055613,-0.09388003857405283,,,-3.263453997706667e-05,-0.0018423654600229489,1622224314.4775305,,99.97345947265624,99.64605858263212
10,25.918251899886098,-0.0941009917430006,,,-0.0016576772666411705,-0.0018423227333588326,1622224314.4812198,,99.97345947265624,99.62810243198265
11,25.91897554850867,-0.09396756113856376,,,-0.0010327199933053,-0.0018422800066947164,1622224314.484849,,99.97345947265624,99.60701093091818
12,25.918998506035713,-0.09398599693382043,,,-3.276271996941545e-05,-0.0018422372800306,1622224314.4891183,,99.97345947265624,99.58916192142073
13,25.91875872311411,-0.09408036160299361,,,0.0003421945533664825,-0.0018421945533664838,1622224314.4953785,,99.97345947265624,99.5715813534909
14,25.918518970131977,-0.09399753005944152,,,0.00034215182670236624,-0.0018421518267023676,1622224314.4961274,,99.97345947265624,99.54810449007537
15,25.918279247089316,-0.0933088514232604,,,0.00034210910003824977,-0.001842109100038251,1622224314.500393,,99.97026832055147,99.53397480914009
16,25.91803955398613,-0.09296025157556045,,,0.0003420663733741335,-0.0018420663733741348,1622224314.5041525,,99.95886277260492,99.51523161319844
17,25.918237841469285,-0.09265271615035287,,,-0.00028297635328996943,-0.0018420236467100186,1622224314.5077958,,99.94781018980504,99.49395843282299
18,25.918085798374417,-0.0928212571766695,,,0.00021698092004591475,-0.0018419809200459023,1622224314.5113573,,99.93700569521276,99.47580260712517
19,25.917145474054653,-0.09283944700130274,,,0.0013419381933817856,-0.001841938193381786,1622224314.5149662,,99.92605726606273,99.4577966428121
20,25.916380359933108,-0.09293279957949212,,,0.0010918954667176969,-0.0018418954667176698,1622224314.5225039,,99.90319047689853,99.44004996248212
21,25.9171043079504,-0.09305120069897264,,,-0.0010331472599464631,-0.0018418527400535533,1622224314.5232682,,99.90087161161115,99.40860166983384
22,25.91800346616591,-0.09352039273920663,,,-0.0012831899866105518,-0.001841810013389437,1622224314.5269022,,99.88984723709144,99.4013476651872
23,25.918552293803398,-0.09391440489641983,,,-0.0007832327132746677,-0.0018417672867253208,1622224314.5307016,,99.87832089984265,99.383597416729
24,25.91831284021599,-0.09410795163962224,,,0.0003417245600612032,-0.0018417245600612045,1622224314.534263,,99.8675171285396,99.36471488225285
25,25.918774137603048,-0.09390057612012465,,,-0.0006583181666029139,-0.0018416818333970883,1622224314.5379,,99.85648335125984,99.34302304150101
26,25.920198956352696,-0.09369319203575235,,,-0.002033360893267045,-0.001841639106732972,1622224314.5415072,,99.84553998513445,99.32526565678641
27,25.920572723489325,-0.09348579938645325,,,-0.0005334036199311604,-0.0018415963800688555,1622224314.5457737,,99.83259672427431,99.30725017746478
28,25.91963266862481,-0.09393915082808242,,,0.0013415536534047388,-0.0018415536534047393,1622224314.551195,,99.81615057364911,99.26958620547835
29,25.919393364734763,-0.0937989102538999,,,0.0003415109267406217,-0.001841510926740623,1622224314.5533726,,99.80954404977672,99.24824402284669
30,25.91941686117231,-0.093991995572759,,,-3.353179992350878e-05,-0.0018414682000765068,1622224314.5571458,,99.794292487233,99.2294203173321
31,25.919352797419954,-0.09413506432939436,,,9.14254734124167e-05,-0.0018414254734123905,1622224314.5607104,,99.77668954917253,99.21121520886445
32,25.919726714253944,-0.0940280844625184,,,-0.0005336172532517417,-0.0018413827467482742,1622224314.5643559,,99.75868748088651,99.19340223609704
33,25.919925480768658,-0.09394610005659718,,,-0.00028365997991583024,-0.0018413400200841578,1622224314.568667,,99.73739818077219,99.1753246611246
34,25.9192483759291,-0.09363907103476095,,,0.0009662972934200268,-0.0018412972934200415,1622224314.5722303,,99.7198011295882,99.15399676987671
35,25.91787057999402,-0.09350706152004978,,,0.0019662545667559254,-0.0018412545667559252,1622224314.5790725,,99.68601281332448,99.13041022467137
36,25.916142453480912,-0.09355007151241003,,,0.002466211840091809,-0.001841211840091809,1622224314.5798204,,99.68231938701884,99.11608475664251
37,25.915553028589144,-0.09349305692747185,,,0.0008411691134276918,-0.0018411691134276927,1622224314.5833802,,99.66473999646432,99.0970953767743
38,25.9147884533781,-0.09351104581872788,,,0.0010911263867636036,-0.0018411263867635765,1622224314.5871632,,99.64605858263212,99.07929432302517
