Time,Conductivity (mS),Conductivity @25*C (microS),Temperature
14:31:46,0,0,20.75
14:31:47,0,0,22.5
14:31:48,0,0,22.5
14:31:49,0,0,21.5
14:31:50,0,0,20.5
14:31:51,0,0,24
14:31:52,0,0,22.25
14:31:53,0,0,23.5
14:31:54,0,0,25.25
14:31:55,0,0,24.75
14:31:56,0,0,24.5
14:31:57,0,0,24.75
14:31:58,0,0,25
14:31:59,0,0,22.5
14:32:00,0,0,23.75
14:32:01,0,0,20.5
14:32:02,0,0,19.25
14:32:03,0,0,21.25
14:32:04,0,0,22.25
14:32:05,0,0,21
14:32:06,0,0,24.5
14:32:07,0,0,26
14:32:08,0,0,22.5
14:32:09,0,0,23.25
14:32:10,0,0,22.5
14:32:11,0,0,21.25
14:32:12,0,0,24.75
14:32:13,0,0,25.5
14:32:14,0,0,22.75
14:32:15,0,0,21.5
14:32:16,0,0,23
14:32:17,0,0,23.5
14:32:18,0,0,22.75
14:32:19,0,0,23.25
14:32:20,0,0,20.25
14:32:21,0,0,22.5
14:32:21,0,0,22.75
14:32:22,0,0,20
14:32:23,0,0,19.5
14:32:24,0,0,24.75
14:32:25,0,0,23.25
14:32:26,0,0,25
14:32:27,0,0,24.5
14:32:28,0,0,23.25
14:32:29,0,0,25.25
14:32:30,0,0,24.5
14:32:31,0,0,23.75
14:32:32,0,0,22
14:32:33,0,0,23
14:32:34,0,0,22.5
14:32:35,0,0,22
14:32:36,0,0,25.25
14:32:37,0,0,21.25
14:32:38,0,0,22
14:32:39,0,0,23.5
14:32:40,0,0,22.75
14:32:41,0,0,20
14:32:42,0,0,23.5
14:32:43,0,0,22.75
14:32:44,0,0,23.75
14:32:45,0,0,25
14:32:46,0,0,24.5
14:32:47,0,0,25
14:32:48,0,0,23.75
14:32:49,0,0,24.75
14:32:50,0,0,22.25
14:32:51,0,0,22.75
14:32:52,0,0,21.75
14:32:53,0,0,20
14:32:54,0,0,21.25
14:32:55,0,0,21.75
14:32:56,0,0,20.25
14:32:57,0,0,23
14:32:58,0,0,25.75
14:32:59,0,0,22
14:33:00,0,0,22.75
14:33:01,0,0,23.5
14:33:02,0,0,22.75
14:33:03,0,0,24.25
14:33:04,0,0,25.5
14:33:05,0,0,23.25
14:33:06,0,0,22
14:33:07,0,0,23
14:33:07,0,0,23
14:33:08,0,0,22.75
14:33:09,0,0,25.25
14:33:10,0,0,22
14:33:11,0,0,22.75
14:33:12,0,0,22
14:33:13,0,0,20.5
14:33:14,0,0,20.25
14:33:15,0,0,24.75
14:33:16,0,0,23.75
14:33:17,0,0,24.5
14:33:18,0,0,25.75
14:33:19,0,0,23.5
14:33:20,0,0,25.25
14:33:21,0,0,24.5
14:33:22,0,0,24.5
14:33:23,0,0,23
14:33:24,0,0,23.5
14:33:25,0,0,22.5
14:33:26,0,0,20.75
14:33:27,0,0,22.75
14:33:28,0,0,22
14:33:29,0,0,21.75
14:33:30,0,0,24
14:33:31,0,0,24.5
14:33:32,0,0,21.75
14:33:33,0,0,24.5
14:33:34,0,0,22.75
14:33:35,0,0,22.25
14:33:36,0,0,24.75
14:33:37,0,0,25
14:33:38,0,0,25.25
14:33:39,0,0,23
14:33:40,0,0,24.25
14:33:41,0,0,23.5
14:33:42,0,0,23.25
14:33:43,0,0,20.5
14:33:44,0,0,19.75
14:33:45,0,0,20.5
14:33:46,0,0,22.25
14:33:47,0,0,20
14:33:48,0,0,22.75
14:33:49,0,0,25
14:33:50,0,0,22.75
14:33:51,0,0,23.25
14:33:52,0,0,22.75
14:33:53,0,0,22.25
14:33:53,0,0,24.5
14:33:54,0,0,25.25
14:33:55,0,0,23.25
14:33:56,0,0,21.75
14:33:57,0,0,22.75
14:33:58,0,0,23.75
14:33:59,0,0,22.5
14:34:00,0,0,24.5
14:34:01,0,0,22.5
14:34:02,0,0,22.5
14:34:03,0,0,22
14:34:04,0,0,20
14:34:05,0,0,19.75
