,T_cal,T_run,Tin,Tout,V,baseline,t,t_start,x,x_run
0,23.49575728639098,0.20936394076122822,23.37762451171875,23.45970662207833,0.0005626250000000223,-0.0018126249999999957,1614092695.3339458,1614092720.0,99.9534619140625,99.66190353907731
1,23.495720066736826,0.18408923187149107,,,0.00031263467261904185,-0.0018126346726190432,1614092695.3352382,,99.9534619140625,99.6400339997019
2,23.49572749027653,0.18415173833940338,,,-6.235565476192463e-05,-0.001812644345238091,1614092695.3376005,,99.9534619140625,99.62259678970071
3,23.495749794113156,0.18406399052035316,,,-0.00018734598214286335,-0.0018126540178571384,1614092695.34137,,99.9534619140625,99.60448955859451
4,23.495742333901312,0.18377590429792762,,,6.266369047621236e-05,-0.0018126636904761862,1614092695.3460019,,99.9534619140625,99.58706424950105
5,23.495645583847136,0.18333756378850474,,,0.0008126733630952328,-0.0018126733630952337,1614092695.349494,,99.9534619140625,99.5691902761863
6,23.495682765677607,0.18317468398123532,,,-0.0003123169642857066,-0.0018126830357142814,1614092695.3535376,,99.9534619140625,99.5199383695593
7,23.495794353598864,0.18316205458582482,,,-0.0009373072916666458,-0.001812692708333329,1614092695.3578448,,99.9534619140625,99.51368801282122
8,23.495995229059375,0.18289900267047937,,,-0.0016872976190476265,-0.0018127023809523767,1614092695.3602064,,99.9534619140625,99.4862754619635
9,23.496032407435223,0.18256082264282208,,,-0.00031228794642856384,-0.0018127120535714242,1614092695.3650756,,99.9534619140625,99.47436741369215
10,23.496114229004927,0.18234785096808506,,,-0.0006872782738095303,-0.001812721726190472,1614092695.3685784,,99.9534619140625,99.44942192100619
11,23.49619604942309,0.18226008764692447,,,-0.0006872686011904828,-0.0018127313988095194,1614092695.3722308,,99.9534619140625,99.43765668362755
12,23.496277868689717,0.18247282708610973,,,-0.0006872589285714351,-0.0018127410714285671,1614092695.3758159,,99.9534619140625,99.41382035554172
13,23.496344805356333,0.18261043841303773,,,-0.0005622492559524013,-0.0018127507440476147,1614092695.3793087,,99.9534619140625,99.39635339327121
14,23.496233163489826,0.1824976272201758,,,0.0009377604166666477,-0.0018127604166666624,1614092695.38925,,99.9534619140625,99.378481800138
15,23.496166164817172,0.1822345617403962,,,0.0005627700892857366,-0.00181277008928571,1614092695.3916216,,99.9534619140625,99.3610672018615
16,23.4962182165807,0.1822970410792922,,,-0.0004372202380952166,-0.0018127797619047576,1614092695.3960648,,99.9534619140625,99.32267249335358
17,23.49640420022888,0.18243464465514564,,,-0.0015622105654762117,-0.0018127894345238052,1614092695.3984213,,99.9534619140625,99.30516863826912
18,23.496426486792398,0.18251406656279495,,,-0.0001872008928571489,-0.0018127991071428529,1614092695.4022455,,99.94528826955724,99.2823986315156
19,23.49621066902893,0.18246396185527586,,,0.0018128087797619004,-0.0018128087797619004,1614092695.40575,,99.93143877093098,99.26497372956365
20,23.495979968665452,0.18250134613738328,,,0.0019378184523809482,-0.0018128184523809481,1614092695.410571,,99.91238640602714,99.24583654730864
21,23.495972488877417,0.1824887049131154,,,6.282812500002185e-05,-0.0018128281249999956,1614092695.4141517,,99.89823634341273,99.22763710009096
22,23.49593524504091,0.1822509556825661,,,0.00031283779761904205,-0.0018128377976190434,1614092695.4176512,,99.88440663113052,99.2101680614856
23,23.495853355707467,0.1818881455886573,,,0.0006878474702381038,-0.001812847470238091,1614092695.426402,,99.84982387056326,99.18627666982908
24,23.495771465222482,0.18167540427302148,,,0.0006878571428571513,-0.0018128571428571384,1614092695.4276528,,99.84488105337886,99.16883741950318
25,23.495734217931357,0.18161273173557443,,,0.0003128668154761848,-0.0018128668154761861,1614092695.428869,,99.84007485618908,99.13057258724258
26,23.495905309767203,0.1816000808340217,,,-0.0014371235119047415,-0.0018128764880952337,1614092695.4331903,,99.82299735686253,99.11307971801365
27,23.496061519003042,0.18126227478391546,,,-0.0013121138392857075,-0.0018128861607142814,1614092695.436703,,99.80911582320304,99.09664731153343
28,23.49609867549962,0.18079940787028678,,,-0.0003121041666666591,-0.001812895833333329,1614092695.440625,,99.79361652036599,99.07351611676869
29,23.496046542153863,0.18058665687744044,,,0.00043790550595236154,-0.0018129055059523766,1614092695.4441257,,99.77978209704948,99.05424786608405
30,23.49603905200196,0.18049896287720224,,,6.291517857145035e-05,-0.0018129151785714242,1614092695.44777,,99.76537952299675,99.0360031406816
31,23.495942272007728,0.18028620801364129,,,0.000812924851190471,-0.0018129248511904719,1614092695.4512677,,99.75155734836942,99.01855554963744
32,23.49589013520735,0.18014848657121693,,,0.0004379345238095043,-0.0018129345238095194,1614092695.4559906,,99.73289317269165,99.00058249334366
33,23.49588264160083,0.18003577497905848,,,6.294419642859333e-05,-0.0018129441964285671,1614092695.4647274,,99.69836600232908,98.98309319870826
34,23.49591979118816,0.1798230143091537,,,-0.00031204613095237336,-0.0018129538690476146,1614092695.4659722,,99.69344674031618,98.93871700303404
35,23.496016465417814,0.17973531063167497,,,-0.0008120364583333261,-0.0018129635416666624,1614092695.4671865,,99.68864808078126,98.92117289796445
36,23.49600896835667,0.1797476521612177,,,6.29732142857361e-05,-0.00181297321428571,1614092695.4715965,,99.67122008050302,98.90480006804314
37,23.49609075883478,0.1796215447771935,,,-0.0006870171130952446,-0.0018129828869047576,1614092695.473954,,99.66190353907731,98.88731196493892
38,23.496127903815946,0.1795716607052656,,,-0.00031200744047618287,-0.0018129925595238051,1614092695.4789405,,99.6400339997019,98.86815968304006
39,23.496075758954785,0.1795839912368748,,,0.0004380022321428378,-0.0018130022321428529,1614092695.4824338,,99.62259678970071,98.844301144946
