Time,Conductivity_out (microS),Conductivity_out @25*C (microS),Temperature_out,Conductivity_in (microS),Conductivity_in @25*C (microS),Temperature_in
12:38:17,27.57,27.97,24.25,59.25,59.82,24.50
12:38:18,29.05,29.05,25.00,53.97,54.49,24.50
12:38:19,29.06,29.34,24.50,49.96,50.44,24.50
12:38:20,29.06,29.20,24.75,45.12,45.99,24.00
12:38:21,30.45,30.60,24.75,42.02,42.83,24.00
12:38:22,30.45,30.60,24.75,38.05,38.41,24.50
12:38:23,29.71,30.14,24.25,33.67,34.16,24.25
12:38:24,30.45,30.74,24.50,30.64,30.93,24.50
12:38:25,29.71,29.99,24.50,26.66,27.18,24.00
12:38:26,31.19,31.34,24.75,23.63,23.74,24.75
12:38:27,29.70,29.84,24.75,21.42,21.94,23.75
12:38:28,27.57,27.83,24.50,18.78,19.05,24.25
12:38:29,27.57,27.70,24.75,16.99,17.15,24.50
12:38:30,26.83,26.96,24.75,13.54,13.67,24.50
12:38:31,27.56,27.69,24.75,12.24,12.36,24.50
12:38:32,26.82,26.82,25.00,10.01,10.11,24.50
12:38:33,26.08,26.20,24.75,10.01,10.06,24.75
12:38:34,26.82,27.08,24.50,7.83,7.98,24.00
12:38:35,26.08,26.46,24.25,7.83,7.91,24.50
12:38:36,24.69,24.81,24.75,6.54,6.67,24.00
12:38:37,24.69,24.81,24.75,6.54,6.60,24.50
12:38:38,24.68,24.92,24.50,5.65,5.70,24.50
12:38:39,23.94,24.05,24.75,5.64,5.69,24.50
12:38:40,23.94,24.17,24.50,5.25,5.30,24.50
12:38:41,23.20,23.31,24.75,4.36,4.42,24.25
12:38:42,24.69,24.81,24.75,5.25,5.30,24.50
12:38:43,23.94,24.05,24.75,7.43,7.43,25.00
12:38:44,23.94,24.05,24.75,11.35,11.30,25.25
12:38:45,26.08,26.20,24.75,18.80,18.62,25.50
12:38:46,29.05,29.33,24.50,20.52,20.42,25.25
12:38:47,27.57,27.70,24.75,21.82,21.82,25.00
12:38:48,29.70,29.98,24.50,21.43,21.33,25.25
12:38:49,29.05,29.05,25.00,19.64,19.73,24.75
12:38:50,30.44,30.88,24.25,17.00,17.25,24.25
12:38:51,29.70,30.13,24.25,13.08,13.14,24.75
12:38:52,29.05,29.33,24.50,12.64,12.82,24.25
12:38:53,28.31,28.58,24.50,18.79,19.15,24.00
12:38:53,26.82,26.95,24.75,27.53,27.66,24.75
12:38:54,25.43,25.80,24.25,42.89,43.51,24.25
12:38:55,23.94,24.05,24.75,65.40,66.35,24.25
12:38:56,23.20,23.20,25.00,94.58,95.49,24.50
12:38:57,23.20,23.42,24.50,118.30,120.59,24.00
12:38:58,23.20,23.31,24.75,126.20,126.80,24.75
12:38:59,23.20,23.31,24.75,124.00,125.79,24.25
12:39:00,23.20,23.31,24.75,118.60,120.90,24.00
12:39:01,24.68,24.92,24.50,113.70,114.79,24.50
12:39:02,23.94,24.17,24.50,108.80,109.84,24.50
12:39:03,24.69,24.81,24.75,103.50,104.49,24.50
12:39:04,25.43,25.67,24.50,96.84,97.77,24.50
12:39:05,26.08,26.20,24.75,91.04,92.36,24.25
12:39:06,27.56,27.69,24.75,83.97,84.37,24.75
12:39:07,28.31,28.72,24.25,77.34,77.71,24.75
12:39:08,30.44,30.59,24.75,69.79,70.46,24.50
12:39:09,31.93,32.39,24.25,63.65,63.95,24.75
12:39:10,33.32,33.64,24.50,58.33,59.17,24.25
12:39:11,34.07,34.40,24.50,52.12,52.62,24.50
12:39:12,36.29,36.46,24.75,45.99,46.43,24.50
12:39:13,37.04,37.40,24.50,41.58,41.98,24.50
12:39:14,37.69,38.23,24.25,37.19,37.73,24.25
12:39:15,38.43,38.43,25.00,33.25,33.57,24.50
12:39:16,40.66,40.85,24.75,28.82,29.10,24.50
12:39:17,40.66,40.85,24.75,26.23,26.61,24.25
12:39:18,41.31,41.71,24.50,22.71,22.93,24.50
12:39:19,42.79,43.20,24.50,19.63,19.91,24.25
12:39:20,44.28,44.70,24.50,17.00,17.00,25.00
12:39:21,44.93,45.58,24.25,14.82,15.03,24.25
12:39:22,46.41,46.41,25.00,12.63,12.75,24.50
12:39:23,46.42,46.64,24.75,11.34,11.34,25.00
12:39:24,47.15,47.60,24.50,10.45,10.50,24.75
12:39:25,47.91,48.60,24.25,9.61,9.70,24.50
12:39:26,49.31,49.55,24.75,7.82,7.86,24.75
12:39:27,50.04,50.52,24.50,7.82,7.90,24.50
12:39:28,50.78,51.51,24.25,6.09,6.18,24.25
12:39:29,51.53,51.29,25.25,6.09,6.15,24.50
12:39:30,52.27,53.03,24.25,6.09,6.18,24.25
12:39:31,52.93,53.18,24.75,5.64,5.72,24.25
12:39:32,52.93,53.96,24.00,5.64,5.72,24.25
12:39:33,52.92,53.17,24.75,4.80,4.85,24.50
12:39:34,52.91,53.42,24.50,4.80,4.87,24.25
12:39:35,54.40,54.66,24.75,5.64,5.75,24.00
12:39:36,52.28,52.78,24.50,4.36,4.42,24.25
12:39:37,53.65,54.16,24.50,3.91,3.95,24.50
12:39:37,53.66,53.66,25.00,4.80,4.82,24.75
12:39:39,52.92,53.17,24.75,3.91,3.93,24.75
12:39:39,52.92,53.17,24.75,4.35,4.41,24.25
12:39:40,52.27,53.03,24.25,4.80,4.85,24.50
12:39:41,52.27,52.77,24.50,4.36,4.40,24.50
12:39:42,52.92,53.17,24.75,4.36,4.42,24.25
12:39:43,52.26,53.02,24.25,4.36,4.40,24.50
12:39:44,52.27,52.77,24.50,4.35,4.46,23.75
12:39:45,50.78,51.27,24.50,4.35,4.39,24.50
12:39:46,50.79,51.28,24.50,4.36,4.40,24.50
12:39:47,50.78,51.02,24.75,3.91,3.95,24.50
12:39:48,50.78,51.02,24.75,3.91,3.93,24.75
12:39:49,50.04,50.76,24.25,4.36,4.40,24.50
12:39:50,50.03,50.51,24.50,3.91,3.95,24.50
12:39:51,52.27,52.77,24.50,4.36,4.38,24.75
12:39:52,51.52,52.01,24.50,3.46,3.51,24.25
12:39:53,52.27,52.52,24.75,3.91,3.97,24.25
12:39:54,52.92,52.92,25.00,4.80,4.85,24.50
12:39:55,54.40,55.19,24.25,4.35,4.39,24.50
12:39:56,53.66,53.66,25.00,3.91,3.95,24.50
12:39:57,56.55,56.82,24.75,3.91,3.95,24.50
12:39:58,58.02,58.30,24.75,4.35,4.41,24.25
12:39:59,58.77,59.05,24.75,4.80,4.85,24.50
12:40:00,59.51,60.08,24.50,3.91,3.95,24.50
12:40:01,61.65,62.54,24.25,3.91,3.95,24.50
12:40:02,63.87,64.17,24.75,3.91,3.95,24.50
12:40:03,64.52,64.83,24.75,4.35,4.37,24.75
12:40:04,65.28,65.91,24.50,3.91,3.93,24.75
12:40:05,66.03,66.35,24.75,3.91,3.95,24.50
12:40:06,68.15,69.14,24.25,4.36,4.40,24.50
12:40:07,68.15,68.48,24.75,3.91,3.93,24.75
12:40:08,69.64,69.97,24.75,3.91,3.95,24.50
12:40:09,70.39,71.07,24.50,3.91,3.91,25.00
12:40:10,70.40,70.74,24.75,4.35,4.46,23.75
12:40:11,70.39,70.73,24.75,4.80,4.87,24.25
12:40:12,71.13,72.16,24.25,3.91,3.95,24.50
12:40:13,72.52,73.22,24.50,3.91,3.95,24.50
12:40:14,71.88,72.57,24.50,4.80,4.82,24.75
12:40:15,71.13,71.47,24.75,4.35,4.39,24.50
12:40:16,70.39,70.39,25.00,3.91,3.95,24.50
12:40:17,71.13,71.13,25.00,3.46,3.53,24.00
12:40:18,70.39,71.07,24.50,3.91,3.93,24.75
12:40:19,70.39,71.41,24.25,3.91,3.95,24.50
12:40:20,70.38,71.06,24.50,3.91,3.95,24.50
12:40:21,69.65,70.32,24.50,3.91,3.93,24.75
12:40:22,67.51,67.51,25.00,4.80,4.85,24.50
12:40:22,68.15,67.83,25.25,3.91,3.95,24.50
12:40:23,67.50,67.50,25.00,3.46,3.51,24.25
12:40:25,65.27,65.90,24.50,3.91,3.93,24.75
12:40:25,64.53,65.15,24.50,4.35,4.39,24.50
12:40:26,65.28,65.91,24.50,3.91,3.95,24.50
12:40:27,63.87,64.17,24.75,3.46,3.48,24.75
12:40:28,61.65,61.65,25.00,3.46,3.48,24.75
12:40:29,61.66,62.25,24.50,4.35,4.37,24.75
12:40:30,60.25,60.25,25.00,3.91,3.95,24.50
12:40:31,58.77,59.62,24.25,3.91,3.95,24.50
12:40:32,58.76,59.04,24.75,3.46,3.51,24.25
12:40:33,57.28,57.83,24.50,3.46,3.49,24.50
12:40:34,56.54,57.08,24.50,4.35,4.43,24.00
12:40:35,55.14,55.67,24.50,3.91,3.93,24.75
12:40:36,55.14,55.40,24.75,3.90,3.94,24.50
12:40:37,52.91,53.16,24.75,4.35,4.39,24.50
12:40:38,53.66,53.92,24.75,3.91,3.95,24.50
12:40:39,52.26,52.51,24.75,3.46,3.48,24.75
12:40:40,52.26,52.51,24.75,3.90,3.92,24.75
12:40:41,50.77,50.77,25.00,3.91,3.99,24.00
12:40:42,49.29,49.53,24.75,4.35,4.41,24.25
12:40:43,48.64,49.11,24.50,4.35,4.37,24.75
12:40:44,47.89,47.89,25.00,3.91,3.95,24.50
12:40:45,47.89,48.12,24.75,3.91,3.97,24.25
12:40:46,47.89,48.12,24.75,4.35,4.37,24.75
