Time,Conductivity (mS),Conductivity @25*C (microS),Temperature
13:44:47,0.00,0.00,26.25
13:44:48,0.00,0.00,26.00
13:44:49,0.00,0.00,25.75
13:44:50,0.00,0.00,26.25
13:44:51,0.00,0.00,25.75
13:44:52,0.00,0.00,26.25
13:44:53,0.00,0.00,25.75
13:44:54,0.00,0.00,26.25
13:44:55,0.00,0.00,26.00
13:44:56,0.00,0.00,26.25
13:44:57,0.00,0.00,26.25
13:44:58,0.00,0.00,26.25
13:44:59,0.00,0.00,25.50
13:45:00,0.00,0.00,25.75
13:45:01,0.00,0.00,26.00
13:45:02,0.00,0.00,26.25
13:45:03,0.00,0.00,26.25
13:45:04,0.00,0.00,26.00
13:45:05,0.00,0.00,26.25
13:45:06,0.00,0.00,26.25
13:45:07,0.00,0.00,25.75
13:45:08,0.00,0.00,26.00
13:45:09,0.00,0.00,25.75
13:45:10,0.00,0.00,26.00
13:45:10,0.00,0.00,26.00
13:45:11,0.00,0.00,26.25
13:45:12,0.00,0.00,25.75
13:45:13,0.00,0.00,26.25
13:45:14,0.00,0.00,26.25
13:45:15,0.00,0.00,26.25
13:45:16,0.00,0.00,26.25
13:45:17,0.00,0.00,25.75
13:45:18,0.00,0.00,25.75
13:45:19,0.00,0.00,26.00
13:45:20,0.00,0.00,26.00
13:45:21,0.00,0.00,26.00
13:45:22,0.00,0.00,26.00
13:45:23,0.00,0.00,25.75
13:45:24,0.00,0.00,25.75
13:45:25,0.00,0.00,26.00
13:45:26,0.00,0.00,26.25
13:45:27,0.00,0.00,26.25
13:45:28,0.00,0.00,26.00
13:45:29,0.00,0.00,25.75
13:45:30,0.00,0.00,26.00
13:45:31,0.00,0.00,26.00
13:45:32,0.00,0.00,25.75
13:45:33,0.00,0.00,26.25
13:45:34,0.00,0.00,26.25
13:45:35,0.00,0.00,26.25
13:45:36,0.00,0.00,26.25
13:45:37,0.00,0.00,26.25
13:45:38,0.00,0.00,25.50
13:45:39,0.00,0.00,25.50
13:45:40,0.00,0.00,25.75
13:45:41,0.00,0.00,26.25
13:45:42,0.00,0.00,26.00
13:45:43,0.00,0.00,26.00
13:45:44,0.00,0.00,26.25
13:45:45,0.00,0.00,26.25
13:45:46,0.00,0.00,26.25
13:45:47,0.00,0.00,26.00
13:45:48,0.00,0.00,25.75
13:45:49,0.00,0.00,26.50
13:45:50,0.00,0.00,26.25
13:45:51,0.00,0.00,25.75
13:45:52,0.00,0.00,26.50
13:45:53,0.00,0.00,26.00
13:45:54,0.00,0.00,26.00
13:45:54,0.00,0.00,26.00
13:45:55,0.00,0.00,26.00
13:45:56,0.00,0.00,26.25
13:45:57,0.00,0.00,26.00
13:45:58,0.00,0.00,26.25
13:45:59,0.00,0.00,25.50
13:46:00,0.00,0.00,26.00
13:46:01,0.00,0.00,25.75
13:46:02,0.00,0.00,26.25
13:46:03,0.00,0.00,26.50
13:46:04,0.00,0.00,26.25
13:46:05,0.00,0.00,26.00
13:46:06,0.00,0.00,26.00
13:46:07,0.00,0.00,26.25
13:46:08,0.00,0.00,26.00
13:46:09,0.00,0.00,26.00
13:46:10,0.00,0.00,26.25
13:46:11,0.00,0.00,26.50
13:46:12,0.00,0.00,25.75
13:46:13,0.00,0.00,25.75
13:46:14,0.00,0.00,26.00
13:46:15,0.00,0.00,26.25
13:46:16,0.00,0.00,26.00
13:46:17,0.00,0.00,26.00
13:46:18,0.00,0.00,26.00
13:46:19,0.00,0.00,26.25
13:46:20,0.00,0.00,26.25
13:46:21,0.00,0.00,26.00
13:46:22,0.00,0.00,25.50
13:46:23,0.00,0.00,25.75
13:46:24,0.00,0.00,26.00
13:46:25,0.00,0.00,26.25
13:46:26,0.00,0.00,26.25
13:46:27,0.00,0.00,25.75
13:46:28,0.00,0.00,26.25
13:46:29,0.00,0.00,26.25
13:46:30,0.00,0.00,26.00
13:46:31,0.00,0.00,26.25
13:46:32,0.00,0.00,26.25
13:46:33,0.00,0.00,25.50
13:46:34,0.00,0.00,26.25
13:46:35,0.00,0.00,26.25
13:46:36,0.00,0.00,26.25
13:46:37,0.00,0.00,26.25
13:46:38,0.00,0.00,26.00
13:46:39,0.00,0.00,26.50
13:46:40,0.00,0.00,26.25
13:46:40,0.00,0.00,26.25
13:46:41,0.00,0.00,26.25
13:46:42,0.00,0.00,26.25
13:46:43,0.00,0.00,26.00
13:46:44,0.00,0.00,26.00
13:46:45,0.00,0.00,25.75
13:46:46,0.00,0.00,26.00
13:46:47,0.00,0.00,26.25
13:46:48,0.00,0.00,26.00
13:46:49,0.00,0.00,26.00
13:46:50,0.00,0.00,26.00
13:46:51,0.00,0.00,26.25
13:46:52,0.00,0.00,25.75
13:46:53,0.00,0.00,26.00
13:46:54,0.00,0.00,26.00
13:46:55,0.00,0.00,26.25
13:46:56,0.00,0.00,26.00
13:46:57,0.00,0.00,25.50
13:46:58,0.00,0.00,26.00
13:46:59,0.00,0.00,25.75
13:47:00,0.00,0.00,26.00
13:47:01,0.00,0.00,25.75
13:47:02,0.00,0.00,25.50
13:47:03,0.00,0.00,25.75
13:47:04,0.00,0.00,26.00
13:47:05,0.00,0.00,25.75
13:47:06,0.00,0.00,26.25
13:47:07,0.00,0.00,26.00
13:47:08,0.00,0.00,25.75
13:47:09,0.00,0.00,25.75
13:47:10,0.00,0.00,26.25
13:47:11,0.00,0.00,26.25
13:47:12,0.00,0.00,26.00
13:47:13,0.00,0.00,26.00
13:47:14,0.00,0.00,26.00
13:47:15,0.00,0.00,25.75
13:47:16,0.00,0.00,25.75
13:47:17,0.00,0.00,26.25
13:47:18,0.00,0.00,26.00
13:47:19,0.00,0.00,25.50
13:47:20,0.00,0.00,26.25
13:47:21,0.00,0.00,26.00
13:47:22,0.00,0.00,25.75
13:47:23,0.00,0.00,26.00
13:47:24,0.00,0.00,26.25
13:47:25,0.00,0.00,26.00
13:47:25,0.00,0.00,26.25
13:47:26,0.00,0.00,26.25
13:47:27,0.00,0.00,26.00
13:47:28,0.00,0.00,26.00
13:47:29,0.00,0.00,26.25
13:47:30,0.00,0.00,25.75
13:47:31,0.00,0.00,26.25
13:47:32,0.00,0.00,26.00
13:47:33,0.00,0.00,26.25
13:47:34,0.00,0.00,26.25
13:47:35,0.00,0.00,25.50
13:47:36,0.00,0.00,25.75
13:47:37,0.00,0.00,26.00
13:47:38,0.00,0.00,25.75
13:47:39,0.00,0.00,26.00
13:47:40,0.00,0.00,26.25
13:47:41,0.00,0.00,26.25
