t,Tin,Tin_amb,Tout,T4,T5,T6,T7,T8,note,duty
2022-01-14 14:26:52,36.307193756103516,25.873895773424024,35.21311128625331,36.57973207874788,27.524526824401057,35.12639856327792,29.286898671390382,36.37615453303817,Started logging,0.0
2022-01-14 14:26:54,36.30004119873047,25.892642699185984,35.198700877851266,36.57254998943275,27.389554137730123,35.11193616199,29.27522894754338,36.36898944263776,,
2022-01-14 14:26:54,36.285614013671875,25.903961088082614,35.184309500627776,36.565383221908164,27.493041575448256,35.112085180127444,29.279326417060688,36.36913473262454,,
2022-01-14 14:26:56,36.27867126464844,25.915476284968925,35.18828701694582,36.5474337442918,27.509310567856833,35.10147814552368,29.279697986294444,36.35121818320283,,
2022-01-14 14:26:56,36.26060485839844,25.923074616962605,35.17026068461828,36.54392888470602,27.394228614591597,35.097981950760555,29.268044595161015,36.336765652939484,,
2022-01-14 14:26:58,36.24637222290039,25.927145841062824,35.15242466407628,36.52232132959848,27.231664359562036,35.07642781452142,29.25660148771482,36.32250047029066,,
2022-01-14 14:26:58,36.24285888671875,25.938444935058506,35.145284165882344,36.518793487326896,27.61331716298752,35.08021058262579,29.268557034049326,36.32993320014038,,
2022-01-14 14:26:59,36.235740661621094,25.94606063246304,35.14545164025363,36.52262393496163,27.462487513600514,35.069427783039394,29.264802551517025,36.31184459678697,,
2022-01-14 14:27:00,36.2286262512207,25.94623428657158,35.13471424931275,36.500840179262894,27.478569032499,35.054999770552435,29.27286070407548,36.304710093752206,,
2022-01-14 14:27:01,36.2105598449707,25.953834548055358,35.12759658853308,36.50099339716829,27.45488968607071,35.0588054645241,29.269085805651212,36.29025756348886,,
2022-01-14 14:27:02,36.20709228515625,25.954008202163898,35.1168591975922,36.47921347191719,27.39943873005333,35.04437745203714,29.25745691358814,36.2831268838748,,
2022-01-14 14:27:03,36.19283676147461,25.93944826990785,35.09900414587165,36.47221907453616,27.36799674421824,35.037400346422416,29.261740167722326,36.27249395089534,,
2022-01-14 14:27:04,36.18572235107422,25.93962192401639,35.09553666513888,36.46507528969738,27.471506843569458,35.0266213678139,29.27373858742996,36.27266218140634,,
2022-01-14 14:27:05,36.174957275390625,25.947237621420925,35.092072990641825,36.4542695969198,27.559120837383816,35.02314045696231,29.25816738662851,36.24726702108646,,
2022-01-14 14:27:06,36.1716194152832,25.940104296540113,35.09600863836705,36.44359796980943,27.499840065374595,35.01614424645817,29.258494040899944,36.24392152796994,,
2022-01-14 14:27:07,36.15721893310547,25.932835907352658,35.06709647190589,36.43645418497065,27.484131433347823,35.00172005494909,29.2626221342552,36.22948811481012,,
2022-01-14 14:27:08,36.142791748046875,25.929264421187014,35.0527050946824,36.42197126246372,27.460450026771074,34.99457100532962,29.254904927092557,36.233288594990476,,
