t,T4,T5,T6,T7,T8,Tin,Tin_amb,Tout,note,flowrate,Tset,duty
2021-02-25 14:08:56,23.311069132924395,23.63230893563297,22.349354200086825,22.460283755975784,22.180558141038436,22.33514404296875,22.48534842265756,21.964343185805483,Started logging,,,0.0
2021-02-25 14:08:59,23.30564521907361,23.630463042610547,22.353175177970027,22.450582124114174,22.165937380264083,22.326065063476562,22.479884106708827,21.960795774122783,,,,
2021-02-25 14:08:59,23.311191707248707,23.624496852663068,22.356873884560965,22.456494566427143,22.173308935382533,22.32421875,22.481736417199922,21.949788140446415,,,,
2021-02-25 14:09:01,23.31474636265374,23.624365003161465,22.356721045445635,22.456363904718568,22.173186585919986,22.331451416015625,22.47790830885166,21.964343185805483,PID is off,,,
2021-02-25 14:09:01,23.307483833938285,23.62848530008652,22.356873884560965,22.44466968180121,22.173308935382533,22.327911376953125,22.485471910023634,21.964464985348236,PID is off,,,
2021-02-25 14:09:03,23.311191707248707,23.62848530008652,22.356873884560965,22.456494566427143,22.173308935382533,22.331573486328125,22.47803179621773,21.964464985348236,,,,
2021-02-25 14:09:03,23.31489958055913,23.62848530008652,22.364240729919775,22.452574715169927,22.173308935382533,22.33892822265625,22.48920740284734,21.971803407799147,,,,
2021-02-25 14:09:04,23.31489958055913,23.636396270182626,22.360542023328836,22.448622198485566,22.177010006624577,22.342620849609375,22.485471910023634,21.964464985348236,Duty manually set to 5.0,,,
2021-02-25 14:09:05,23.311191707248707,23.632440785134573,22.364240729919775,22.452574715169927,22.165937380264083,22.331573486328125,22.481736417199922,21.971803407799147,,,,
2021-02-25 14:09:06,23.322468545085364,23.63662700681043,22.36442413685817,22.456690558990005,22.16979138833431,22.342803955078125,22.478186155425323,21.971986107113278,,,,
2021-02-25 14:09:07,23.311375568735176,23.632638559386976,22.35335858490842,22.456690558990005,22.16979138833431,22.33544921875,22.478186155425323,21.960963248494068,,,,
2021-02-25 14:09:08,23.311375568735176,23.628650111963523,22.35702672367629,22.456690558990005,22.166120904457905,22.32806396484375,22.47077691346094,21.964647684662367,PID is on,,,
2021-02-25 14:09:09,23.318760671774942,23.632638559386976,22.36442413685817,22.452738042305644,22.16979138833431,22.32806396484375,22.474481534443132,21.964647684662367,,,,
2021-02-25 14:09:10,23.322468545085364,23.63662700681043,22.36809227562604,22.46061041024722,22.16979138833431,22.331756591796875,22.48192164824903,21.97564009339589,,,,
2021-02-25 14:09:11,23.318760671774942,23.63662700681043,22.36442413685817,22.456690558990005,22.16979138833431,22.33544921875,22.478186155425323,21.964647684662367,,,,
2021-02-25 14:09:12,23.318760671774942,23.628650111963523,22.35335858490842,22.456690558990005,22.16241983321586,22.331756591796875,22.478186155425323,21.957309262211457,,,,
2021-02-25 14:09:13,23.318760671774942,23.64058249185848,22.36072543026723,22.456690558990005,22.16979138833431,22.33544921875,22.48192164824903,21.960963248494068,flowrate updated to 1.0,1.0,,
2021-02-25 14:09:14,23.303990465695406,23.628650111963523,22.35702672367629,22.448785525621286,22.166120904457905,22.32806396484375,22.474481534443132,21.964647684662367,,,,
2021-02-25 14:09:15,23.31506812025506,23.63659404443503,22.36442413685817,22.458650484618612,22.17165721763815,22.333602905273438,22.47821702726684,21.964632459719525,,,,
2021-02-25 14:09:16,23.322621762990753,23.63280337126398,22.360878269382557,22.45290136944136,22.16627384128609,22.3355712890625,22.478371386474432,21.96845392037342,,,,
2021-02-25 14:09:17,23.30782091333014,23.640747303735484,22.360878269382557,22.45685388612572,22.162572770044047,22.3319091796875,22.482076007456623,21.96111549792251,,,,
2021-02-25 14:09:18,23.31520601636991,23.63280337126398,22.360878269382557,22.45290136944136,22.162572770044047,22.324554443359375,22.474635893650724,21.96479993409081,Tset updated to 30.0,,30.0,
2021-02-25 14:09:19,23.31520601636991,23.640747303735484,22.353511424023747,22.460773737382937,22.169944325162493,22.3319091796875,22.467195779844825,21.96479993409081,,,,
2021-02-25 14:09:20,23.322774980896142,23.62897973571753,22.353664263139077,22.464889581203014,22.17379833323272,22.33575439453125,22.482230366664215,21.96495218351925,,,,
